Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2010-04-26,70.87999699999999,72.830002,70.65000199999999,71.65000199999999,50.749846999999995,20131900,CAT
2010-04-27,71.25,71.580002,68.279999,68.529999,48.539948,14323100,CAT
2010-04-28,69.43,70.269997,68.599998,68.970001,48.85160399999999,8232800,CAT
2010-04-29,69.95999900000001,70.760002,69.620003,70.75,50.112362000000005,7916800,CAT
2010-04-30,70.989998,71.360001,67.82,68.089996,48.228283000000005,9428100,CAT
2010-05-03,68.370003,70.160004,68.089996,69.940002,49.538647,7885900,CAT
2010-05-04,68.559998,68.559998,66.25,66.699997,47.24374,12558100,CAT
2010-05-05,65.860001,67.440002,64.080002,65.95999900000001,46.719604,11419500,CAT
2010-05-06,65.849998,66.940002,58.79999900000001,63.5,44.977188,19363500,CAT
2010-05-07,63.049999,64.44999700000001,60.639999,62.09999800000001,43.98555,15724700,CAT
2010-05-10,65.87999699999999,67,65.19000199999999,66.69000199999999,47.236656,11852100,CAT
2010-05-11,65.17999999999999,66.98000300000001,65,66.07,46.797520000000006,7481300,CAT
2010-05-12,66.660004,68.300003,66.599998,68.15000199999999,48.270798000000006,7791600,CAT
2010-05-13,68.15000199999999,68.400002,66.66999799999999,66.91000400000001,47.392494,6531000,CAT
2010-05-14,65.95999900000001,66.19000199999999,63.91,64.87999699999999,45.954635999999994,9938400,CAT
2010-05-17,65.010002,65.739998,61.990002000000004,63.779999000000004,45.175503000000006,11881200,CAT
2010-05-18,64.91000400000001,65.529999,62.849998,63.189999,44.757602999999996,9594300,CAT
2010-05-19,62.939999,63.16999800000001,59.279999000000004,61.439999,43.518074,18582700,CAT
2010-05-20,59.07,60.41,58,58.66999800000001,41.55608399999999,22798500,CAT
2010-05-21,57.29999900000001,60.5,57.200001,60.09,42.561871,15889900,CAT
2010-05-24,60.060001,61.110001,59.09,59.220001,41.945648,11176700,CAT
2010-05-25,56.349998,59.360001,55.740002000000004,59.209999,41.93856,13793600,CAT
2010-05-26,59.630001,61.400002,59.25,59.730000000000004,42.306895999999995,11566900,CAT
2010-05-27,61.360001,62.119999,60.82,62.060001,43.957221999999994,9555100,CAT
2010-05-28,62.419998,62.419998,60.049999,60.759998,43.036438000000004,7704900,CAT
2010-06-01,60.040001,61.639999,59.220001,59.27,41.981052,8340800,CAT
2010-06-02,59.900002,60.900002,59.279999000000004,60.860001,43.107245999999996,9453500,CAT
2010-06-03,62.290001000000004,62.360001,60.419998,61.110001,43.284332000000006,8982700,CAT
2010-06-04,59.490002000000004,60.200001,57.360001,57.759998,40.91153,10279600,CAT
2010-06-07,58.009998,58.279999000000004,55.79999900000001,55.830002,39.544498,8904600,CAT
2010-06-08,56.009998,57.18,54.889998999999996,56.610001,40.096977,11604900,CAT
2010-06-09,57.490002000000004,58.849998,56.59,56.81000099999999,40.238640000000004,9749300,CAT
2010-06-10,58.31000099999999,60,58,59.95000099999999,42.462704,9704700,CAT
2010-06-11,59.220001,60.240002000000004,58.990002000000004,60.230000000000004,42.661026,7341400,CAT
2010-06-14,61.419998,62.560001,60.88000099999999,61,43.20643200000001,9783000,CAT
2010-06-15,61.79999900000001,63.560001,61.5,63.459998999999996,44.948848999999996,11870300,CAT
2010-06-16,62.91,64.519997,62.730000000000004,64.389999,45.607566999999996,10561900,CAT
2010-06-17,64.62999699999999,64.989998,63.66999800000001,64.94999700000001,46.004215,10574600,CAT
2010-06-18,65.12999699999999,65.900002,64.57,65.849998,46.641684999999995,11005600,CAT
2010-06-21,67.559998,68.349998,65.550003,66.07,46.797520000000006,11652400,CAT
2010-06-22,66.300003,66.48000300000001,63.88000099999999,64.110001,45.409237,8659600,CAT
2010-06-23,64.059998,64.870003,62.639999,64.330002,45.565071,9037100,CAT
2010-06-24,63.81000099999999,64.44999700000001,63.049999,63.369999,44.885101,8658200,CAT
2010-06-25,63.540001,64.70999900000001,62.919998,64.70999900000001,45.83422899999999,12068800,CAT
2010-06-28,64.44999700000001,65.300003,64.010002,64.400002,45.614655,6836700,CAT
2010-06-29,62.740002000000004,62.860001,60.25,60.849998,43.10017800000001,13057100,CAT
2010-06-30,61.02,61.939999,59.91,60.07,42.547695,9630300,CAT
2010-07-01,59.66999800000001,60.700001,58.060001,59.970000999999996,42.476870999999996,11598200,CAT
2010-07-02,60.29999900000001,60.660000000000004,58.619999,59.18,41.917305,7878200,CAT
2010-07-06,60.59999800000001,61.650002,59.209999,59.81000099999999,42.363556,9357300,CAT
2010-07-07,59.849998,62.27,59.66999800000001,62.18,44.042217,7592900,CAT
2010-07-08,63.080002,63.349998,62.18,63.16999800000001,44.743446,6058800,CAT
2010-07-09,63.119999,64.849998,63,64.720001,45.841305,6456900,CAT
2010-07-12,64.5,65.099998,63.869999,64.279999,45.529652000000006,4915400,CAT
2010-07-13,65.87999699999999,67.360001,65.309998,66.790001,47.30749099999999,10081500,CAT
2010-07-14,66.349998,66.91000400000001,65.519997,66.699997,47.24374,6851200,CAT
2010-07-15,66.37999699999999,66.589996,65.360001,66.510002,47.109169,8101700,CAT
2010-07-16,65.760002,65.790001,63.75,63.939999,45.590454,8504100,CAT
2010-07-19,64.360001,65.23000300000001,63.560001,64.800003,46.203644,6826400,CAT
2010-07-20,63.560001,66.769997,63.560001,66.43,47.365845,9468600,CAT
2010-07-21,66.989998,68.050003,66.19000199999999,66.870003,47.679581,11432400,CAT
2010-07-22,67.41000400000001,68.620003,66.45999900000001,68,48.485293999999996,15905800,CAT
2010-07-23,67.5,69.639999,67.330002,69.309998,49.419353,8865900,CAT
2010-07-26,69.41000400000001,70.080002,69.080002,69.989998,49.904198,8878400,CAT
2010-07-27,70.17999999999999,70.17999999999999,68.089996,69.17999999999999,49.32666,11948000,CAT
2010-07-28,68.699997,69.849998,68.699997,69.720001,49.711684999999996,7609900,CAT
2010-07-29,69.839996,70.290001,68.20999900000001,69.400002,49.483517,7671300,CAT
2010-07-30,68.389999,70.25,68.389999,69.75,49.733078000000006,7218100,CAT
2010-08-02,70.739998,71.699997,70.07,71.050003,50.659996,6304100,CAT
2010-08-03,70.57,71.029999,69.87999699999999,70.370003,50.17515600000001,5878900,CAT
